                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7744,                 3.2925,                 1.3204,                 0.7814,                0.08613,                0.17212,                0.10277,                 1.4688,                 3.3437,                 1.1062,              0.0002727,              0.0002727,              0.0002727
                      2,                 1.6755,                 1.8956,                 1.2416,                0.77257,                0.18758,                 0.2841,                0.14875,                 1.5771,                   2.78,                 1.2279,             0.00055339,             0.00055339,             0.00055339
                      3,                 1.5759,                 1.5547,                 1.2188,                0.56988,                0.33298,                0.39651,                0.23626,                 1.5813,                 2.1869,                 1.2799,             0.00083297,             0.00083297,             0.00083297
                      4,                 1.5412,                 1.4167,                 1.2094,                 0.6185,                0.46083,                0.49356,                0.29218,                  1.439,                  1.434,                 1.1863,              0.0009036,              0.0009036,              0.0009036
                      5,                 1.5055,                  1.332,                 1.1905,                0.67669,                0.53517,                0.54729,                0.34401,                 1.4194,                 1.2943,                 1.1663,              0.0009018,              0.0009018,              0.0009018
                      6,                  1.466,                 1.2588,                 1.1791,                0.69055,                0.57497,                0.58049,                 0.3725,                 1.3859,                  1.157,                 1.1329,                 0.0009,                 0.0009,                 0.0009
                      7,                  1.441,                 1.2067,                 1.1599,                0.83544,                0.49379,                0.54731,                0.35559,                 1.3843,                 1.1574,                 1.1606,              0.0008982,              0.0008982,              0.0008982
                      8,                 1.4481,                 1.1555,                 1.1658,                0.66715,                0.61233,                0.60554,                0.38603,                 1.3624,                 1.0674,                 1.1462,              0.0008964,              0.0008964,              0.0008964
                      9,                 1.3955,                 1.1445,                  1.151,                0.75883,                 0.4949,                 0.6014,                0.38503,                 1.3061,                 1.0384,                 1.1259,              0.0008946,              0.0008946,              0.0008946
                     10,                 1.4078,                 1.1507,                 1.1592,                0.73755,                0.55912,                0.59738,                0.39391,                 1.3161,                 1.0674,                 1.1314,              0.0008928,              0.0008928,              0.0008928
                     11,                 1.3804,                 1.0886,                 1.1356,                0.76091,                0.54379,                0.56873,                0.37915,                 1.3143,                 1.0647,                 1.1061,               0.000891,               0.000891,               0.000891
                     12,                 1.3558,                 1.0436,                 1.1251,                0.81076,                 0.5835,                0.62846,                0.42252,                 1.2802,                0.96513,                 1.1105,              0.0008892,              0.0008892,              0.0008892
                     13,                 1.3561,                0.99682,                 1.1182,                0.84461,                0.52396,                0.59139,                0.39423,                 1.3415,                0.95759,                 1.1212,              0.0008874,              0.0008874,              0.0008874
                     14,                 1.3492,                 1.0137,                 1.1253,                0.76334,                0.53235,                0.60376,                0.41007,                 1.2578,                0.97408,                 1.0999,              0.0008856,              0.0008856,              0.0008856
                     15,                 1.3142,                0.97534,                 1.1027,                0.72311,                0.54714,                0.61287,                0.40755,                 1.2643,                 0.9497,                 1.1111,              0.0008838,              0.0008838,              0.0008838
                     16,                 1.3082,                0.96293,                 1.1016,                0.81629,                0.56985,                0.61992,                0.41581,                 1.2971,                0.94371,                  1.115,               0.000882,               0.000882,               0.000882
                     17,                 1.3034,                0.96103,                 1.1055,                0.79166,                 0.6291,                0.65802,                0.45341,                 1.3059,                0.92753,                 1.1193,              0.0008802,              0.0008802,              0.0008802
                     18,                 1.3097,                0.94072,                 1.1101,                 0.8613,                0.56375,                0.63689,                0.42608,                 1.3224,                0.92222,                 1.1359,              0.0008784,              0.0008784,              0.0008784
                     19,                 1.3088,                0.94122,                 1.1113,                0.76228,                0.63032,                0.65409,                 0.4351,                 1.3426,                0.87394,                 1.1315,              0.0008766,              0.0008766,              0.0008766
                     20,                 1.2856,                0.90965,                  1.099,                0.79925,                0.57217,                0.65061,                0.43702,                 1.2334,                0.84763,                 1.0879,              0.0008748,              0.0008748,              0.0008748
                     21,                 1.2638,                0.89226,                 1.0857,                 0.6071,                0.62414,                 0.6353,                 0.4261,                 1.2635,                0.87581,                  1.093,               0.000873,               0.000873,               0.000873
                     22,                 1.2473,                0.87061,                 1.0756,                0.86845,                0.57105,                 0.6751,                 0.4455,                  1.264,                0.83838,                 1.1129,              0.0008712,              0.0008712,              0.0008712
                     23,                 1.2657,                0.88854,                 1.1043,                0.75888,                0.64753,                0.66884,                0.43324,                 1.3031,                0.88037,                 1.1325,              0.0008694,              0.0008694,              0.0008694
                     24,                 1.2945,                 0.8964,                 1.1125,                0.75363,                0.63839,                0.65703,                0.43695,                 1.2866,                0.84287,                 1.1152,              0.0008676,              0.0008676,              0.0008676
                     25,                 1.2379,                0.84048,                 1.0733,                0.83016,                0.61624,                0.66933,                0.44871,                 1.2535,                0.80655,                 1.1001,              0.0008658,              0.0008658,              0.0008658
                     26,                 1.2489,                0.83776,                 1.0793,                0.82498,                0.62093,                0.69322,                0.47169,                 1.2752,                0.78642,                 1.1031,               0.000864,               0.000864,               0.000864
                     27,                 1.2416,                0.82596,                 1.0769,                0.83459,                0.60548,                0.67595,                0.45477,                  1.268,                0.85286,                 1.1222,              0.0008622,              0.0008622,              0.0008622
                     28,                 1.2508,                0.81919,                  1.091,                0.81163,                0.67554,                0.70539,                0.47623,                 1.2647,                0.77886,                 1.1132,              0.0008604,              0.0008604,              0.0008604
                     29,                 1.2229,                0.81109,                   1.08,                0.81291,                0.65634,                 0.6998,                0.47999,                  1.239,                0.78246,                 1.1012,             0.00085861,             0.00085861,             0.00085861
                     30,                 1.2326,                0.81392,                 1.0764,                0.69721,                 0.6624,                0.70209,                0.48673,                  1.235,                0.75699,                 1.1062,             0.00085681,             0.00085681,             0.00085681
                     31,                 1.1764,                0.77888,                 1.0527,                0.85208,                0.61808,                0.68604,                0.47685,                 1.2684,                0.79394,                  1.115,             0.00085501,             0.00085501,             0.00085501
                     32,                 1.1963,                0.78186,                  1.063,                0.85366,                0.57507,                0.69215,                0.47308,                 1.2749,                0.79769,                 1.1094,             0.00085321,             0.00085321,             0.00085321
                     33,                 1.1856,                0.78057,                 1.0536,                0.65269,                0.72971,                0.74165,                 0.4915,                 1.2615,                0.75312,                 1.1169,             0.00085141,             0.00085141,             0.00085141
                     34,                 1.2067,                0.77248,                 1.0628,                0.80465,                 0.6852,                 0.6861,                0.44887,                 1.3001,                0.78412,                 1.1303,             0.00084961,             0.00084961,             0.00084961
                     35,                 1.2019,                 0.7807,                 1.0644,                0.64133,                0.66477,                0.70498,                0.46956,                 1.2478,                0.76178,                 1.1147,             0.00084781,             0.00084781,             0.00084781
